Instruction,Opcode,ExtendedOpcode,En,Format
add,05,id,I,"ADD EAX, imm32"
add,81,/0 id,MI,"ADD r/m32, imm32"
add,83,/0 ib,MI,"ADD r/m32, imm8"
add,01,/r,MR,"ADD r/m32, r32"
add,03,/r,RM,"ADD r32, r/m32"
nop,90,,NP,"NOP"
nop,0F1F,/0,M,"NOP r/m32"
and,25,id,I,"AND EAX, imm32"
and,81,/4 id,MI,"AND r/m32, imm32"
and,83,/4 ib,MI,"AND r/m32, imm8"
and,21,/r,MR,"AND r/m32, r32"
and,23,/r,RM,"AND r32, r/m32"
not,F6,/2,M,"NOT rm/8"
not,F7,/2,M,"NOT rm/32"
bswap,0FC8,+rd,O,"BSWAP r32"
or,0D,id,I,"OR EAX, imm32"
or,81,/1 id,MI,"OR r/m32, imm32"
or,83,/1 ib,MI,"OR r/m32, imm8"
or,09,/r,MR,"OR rm/32, r32"
or,0B,/r,RM,"OR r32, r/m32"
call,E8,cd,D,"CALL rel32"
call,FF,/2,M,"CALL r/m32"
pop,8F,/0,M,"POP r/m32"
pop,58,+rd,O,"POP r32"
cmp,3D,id,I,"CMP EAX, imm32"
cmp,81,/7 id,MI,"CMP r/m32, imm32"
cmp,39,/r,MR,"CMP r/m32, r32"
cmp,38,/r,RM,"CMP r32, r/m32"
popcnt,F30FB8,/r,RM,"POPCNT r32, r/m32"
dec,FF,/1,M,"DEC r/m32"
dec,48,+rd,O,"DEC r32"
push,FF,/6,M,"PUSH r/m32"
push,50,+rd,O,"PUSH r32"
push,68, id,I,"PUSH imm32"
idiv,F7,/7,M,"IDIV r/m32"
repne,F2A7,,NP,"REPNE CMPS m32, m32"
repne,F2AF,,NP,"REPNE SCAS m32"
cmpsd,F20FC2,/r ib,RMI,"CMPSD xmm1,xmm2/m64,imm8"
imul,F7,/5,M,"IMUL r/m32"
imul,0FAF,/r,RM,"IMUL r32, r/m32"
imul,6B,/r ib,RMI,"IMUL r32, r/m32, imm8"
imul,69,/r id,RMI,"IMUL r32, r/m32, imm32"
ret,C3,,NP,"RET"
ret,C2,iw,I,"RET imm16 (retn)"
ret,CA,iw,I,"RET imm16 (retf)"
inc,FF,/0,M,"INC r/m32"
inc,40,+rd,O,"INC r32"
jmp,E9,cd,D,"JMP rel32"
jmp,FF,/4,M,"JMP r/m32"
sal,D1,/4,M1,"SAL r/m32,1"
sal,C1,/4,MI,"SAL r/m32,imm8"
sar,D1,/7,M1,"SAR r/m32,1"
sar,D3,/7,MC,"SAR r/m32,CL"
sar,C1,/7,MI,"SAR r/m32,imm8"
jz,0F,84 cd,D,"JZ rel32"
jz,74,cb,D,"JZ rel8"
jnz,OF85,cd,D,"JNZ rel32"
jnz,75,cb,D,"JNZ rel8"
lea,8D,/r,RM,"LEA r32,m"
sbb,1D,id,I,"SBB EAX,imm32"
sbb,81,/3 id,MI,"SBB r/m32,imm32"
sbb,83,/3 ib,MI,"SBB r/m32,imm8"
sbb,19,/r,MR,"SBB r/m32,32"
sbb,1B,/r,RM,"SBB r32,r/m32"
mov,8B,/r,RM,"MOV r32,r/m32"
mov,89,/r,MR,"MOV r/m32,r32"
mov,A1,,FD,"MOV EAX, moffs32*"
mov,A3,,TD,"MOV moffs32*,EAX"
mov,B8,+rd id,OI,"MOV r32, imm32"
mov,C7,/0 id,MI,"MOV r/m32, imm32"
shl,D1,/4,M1,"SHL r/m32,1 (SAME AS sal)"
shl,D3,/4,MC,"SHL r/m32,CL"
shr,D1,/5,M1,"SHR r/m32,1"
shr,C1,/5 ib,MI,"SHR r/m32,imm8"
movsb,A4,,NP,"MOVSB"
movsd,A5,,NP,"MOVSD"
movzx,0FB6,/r,RM,"MOVZX r32, r/m8"
test,A9,id,I,"TEST EAX,imm32"
test,F7,/0 id,MI,"TEST r/m32, imm32"
test,85,/r,MR,"TEST r/m32, r32"
mul,F7,/4,M,"MUL r/m32"
xor,35,id,I,"XOR EAX, imm32"
xor,81,/6 id,MI,"XOR r/m32, r32"
xor,83,/6 ib,MI,"XOR r/m32,imm8"
xor,31,/r,MR,"XOR r/m32, r32"
xor,33,/r,RM,"XOR r32,r/m32"
neg,F7,/3,M,NEG r/m32
